instance_sn,creation_time
instance_8622,342454.0
instance_8624,342454.0
instance_8620,342454.0
instance_8626,342454.0
instance_8617,342454.0
instance_8621,342454.0
instance_8625,342454.0
instance_8628,342673.0
instance_8631,344671.0
instance_8641,344672.0
instance_8637,344672.0
instance_8642,344672.0
instance_8638,344672.0
instance_8634,344672.0
instance_8639,344672.0
instance_8636,344672.0
instance_8640,344672.0
instance_8632,344672.0
instance_8633,344672.0
instance_8635,344672.0
instance_8648,347983.0
instance_8647,347983.0
instance_8650,347983.0
instance_8649,347983.0
instance_8646,347983.0
instance_8651,348074.0
instance_8652,351092.0
instance_8653,353518.0
instance_8654,353518.0
instance_8655,353518.0
instance_8659,354167.0
instance_8658,354168.0
instance_8662,359028.0
instance_8663,359030.0
instance_8677,364553.0
instance_8676,364554.0
instance_8680,364554.0
instance_8678,364554.0
instance_8679,364554.0
instance_8696,370050.0
instance_8697,370051.0
instance_8698,370051.0
instance_8717,375546.0
instance_8718,375548.0
instance_8729,381396.0
instance_8730,381430.0
instance_8731,381998.0
instance_8736,385174.0
instance_8737,385174.0
instance_8738,385175.0
instance_8745,385175.0
instance_8751,385742.0
instance_8759,386870.0
instance_8765,386870.0
instance_8758,386870.0
instance_8755,386870.0
instance_8756,386870.0
instance_8757,386870.0
instance_8762,386870.0
instance_8763,386870.0
instance_8760,386870.0
instance_8761,386870.0
instance_8764,386870.0
instance_8766,386872.0
instance_8769,388167.0
instance_8770,388435.0
instance_8781,390272.0
instance_8782,390276.0
instance_8783,390276.0
instance_8785,390276.0
instance_8784,390276.0
instance_8786,390278.0
instance_8817,397074.0
instance_8818,397074.0
instance_8819,397074.0
instance_8824,400495.0
instance_8826,400495.0
instance_8825,400499.0
instance_8827,400499.0
instance_8842,402780.0
instance_8843,402780.0
instance_8844,402780.0
instance_8835,402780.0
instance_8837,402780.0
instance_8836,402780.0
instance_8840,402780.0
instance_8839,402780.0
instance_8841,402780.0
instance_8838,402780.0
instance_8912,410728.0
instance_8915,410728.0
instance_8914,410728.0
instance_8916,410728.0
instance_8918,410728.0
instance_8913,410728.0
instance_8911,410729.0
instance_8921,410729.0
instance_8917,410729.0
instance_8919,410729.0
instance_8910,410729.0
instance_8909,410729.0
instance_8920,410730.0
instance_8991,421886.0
instance_8992,421886.0
instance_8993,421888.0
instance_8994,421888.0
instance_9000,430706.0
instance_9008,436246.0
instance_9007,436247.0
instance_9009,436248.0
instance_9010,437515.0
instance_9019,445778.0
instance_9018,445778.0
instance_9055,469391.00000000006
instance_9056,469393.00000000006
instance_9057,469393.00000000006
instance_9095,481173.00000000006
instance_9096,482259.00000000006
instance_9101,482259.00000000006
instance_9097,482259.00000000006
instance_9098,482259.00000000006
instance_9102,482259.00000000006
instance_9099,482259.00000000006
instance_9100,482259.00000000006
instance_9104,482260.00000000006
instance_9103,482260.00000000006
instance_9119,485657.00000000006
instance_9129,485658.00000000006
instance_9120,485658.00000000006
instance_9122,485658.00000000006
instance_9121,485658.00000000006
instance_9118,485658.00000000006
instance_9124,485659.00000000006
instance_9123,485659.00000000006
instance_9127,485659.00000000006
instance_9128,485659.00000000006
instance_9125,485659.00000000006
instance_9126,485659.00000000006
instance_9146,489056.00000000006
instance_9145,489056.00000000006
instance_9144,489056.00000000006
instance_9147,489056.00000000006
instance_9161,492466.00000000006
instance_9160,492467.00000000006
instance_9159,492467.00000000006
instance_9162,492467.00000000006
instance_9158,492467.00000000006
instance_9194,502758.00000000006
instance_9193,502758.00000000006
instance_9192,502758.00000000006
instance_9198,502759.00000000006
instance_9197,502759.00000000006
instance_9196,502759.00000000006
instance_9195,502759.00000000006
instance_9211,506189.00000000006
instance_9212,506189.00000000006
instance_9213,506190.00000000006
instance_9259,513024.00000000006
instance_9258,513024.00000000006
instance_9262,513466.00000000006
instance_9261,513466.00000000006
instance_9278,516457.00000000006
instance_9277,516457.00000000006
instance_9279,516460.00000000006
instance_9282,519138.00000000006
instance_9284,519891.00000000006
instance_9283,519891.00000000006
instance_9285,519892.00000000006
instance_9294,523321.00000000006
instance_9295,523916.00000000006
instance_9297,524531.0
instance_9296,524531.0
instance_9298,524531.0
instance_9304,526750.0
instance_9303,526750.0
instance_9302,526750.0
instance_9305,526966.0
instance_9309,529722.0
instance_9308,529726.0
instance_9314,535565.0
instance_9319,540389.0
instance_9327,546595.0
instance_9328,547418.0
instance_9332,550568.0
instance_9330,550568.0
instance_9336,550569.0
instance_9334,550569.0
instance_9331,550569.0
instance_9335,550569.0
instance_9333,550569.0
instance_9337,550569.0
instance_9338,550571.0
instance_9340,550571.0
instance_9339,550571.0
instance_9348,552096.0
instance_9361,557388.0
instance_9360,557388.0
instance_9366,557389.0
instance_9362,557389.0
instance_9363,557389.0
instance_9364,557389.0
instance_9365,557389.0
instance_9367,557932.0
instance_9376,560804.0
instance_9375,560805.0
instance_9377,560806.0
instance_9378,560810.0
instance_9379,560812.0
instance_9383,564188.0
instance_9385,564189.0
instance_9386,564189.0
instance_9384,564189.0
instance_9396,567615.0
instance_9395,567615.0
instance_9397,567615.0
instance_9428,574424.0
instance_9430,574424.0
instance_9425,574424.0
instance_9420,574424.0
instance_9424,574424.0
instance_9423,574424.0
instance_9429,574424.0
instance_9419,574424.0
instance_9421,574424.0
instance_9422,574424.0
instance_9426,574425.0
instance_9427,574425.0
instance_9431,574635.0
instance_9432,574635.0
instance_9433,574637.0
instance_9434,576443.0
instance_9445,581207.0
instance_9447,581209.0
instance_9449,581209.0
instance_9448,581209.0
instance_9446,581209.0
instance_9451,581251.0
instance_9450,581251.0
instance_9453,581251.0
instance_9454,581251.0
instance_9452,581252.0
instance_9456,582045.0
instance_9459,584677.0
instance_9460,584678.0
instance_9462,594953.0
instance_9472,601781.0
instance_9493,605204.0
instance_9508,608621.0
instance_9510,610326.0
instance_9511,610326.0
instance_9577,616854.0
instance_9578,616854.0
instance_9608,621355.0
instance_9619,626608.0
instance_9620,626611.0
instance_9621,626611.0
instance_9623,626611.0
instance_9622,626611.0
instance_9629,632122.0
instance_9630,632122.0
instance_9631,637655.0
instance_9632,637655.0
instance_9633,637657.0
instance_9636,643164.0
instance_9646,648679.0
instance_9645,648680.0
instance_9647,648681.0
instance_9652,652746.0
instance_9657,654176.0
instance_9665,659707.0
instance_9675,665213.0
instance_9750,696726.0
instance_9751,696726.0
instance_9755,699362.0
instance_9756,699362.0
instance_9772,705775.0
instance_9861,767090.0
instance_9862,767090.0
instance_9877,783121.0
instance_9894,795478.0
instance_9895,795478.0
instance_9973,813732.0
instance_9976,815872.0
instance_9975,815872.0
instance_9988,819270.0
instance_9993,822671.0
instance_9995,822671.0
instance_9994,822671.0
instance_9996,822672.0
instance_9999,822672.0
instance_9992,822672.0
instance_9997,822672.0
instance_9998,822672.0
instance_10009,826065.0
instance_10019,829454.0
instance_10022,829454.0
instance_10020,829454.0
instance_10021,829454.0
instance_10017,829454.0
instance_10018,829454.0
instance_10016,829454.0
instance_10023,829454.0
instance_10025,829454.0
instance_10024,829454.0
instance_10030,830240.0
instance_10032,831626.0
instance_10037,832859.0
instance_10046,836273.0
instance_10042,836273.0
instance_10050,836274.0
instance_10048,836274.0
instance_10043,836274.0
instance_10049,836274.0
instance_10051,836274.0
instance_10045,836274.0
instance_10047,836274.0
instance_10044,836275.0
instance_10058,838863.0
instance_10060,838863.0
instance_10059,838863.0
instance_10063,839687.0
instance_10064,839689.0
instance_10065,839689.0
instance_10066,839692.0
instance_10083,843090.0
instance_10082,843090.0
instance_10081,843090.0
instance_10084,843091.0
instance_10085,843091.0
instance_10086,843093.0
instance_10087,843093.0
instance_10097,849453.0
instance_10098,849485.0
instance_10099,851583.0
instance_10100,851618.0
instance_10111,852055.0
instance_10114,852055.0
instance_10113,852055.0
instance_10112,852055.0
instance_10120,852055.0
instance_10126,852055.0
instance_10125,852055.0
instance_10117,852055.0
instance_10118,852055.0
instance_10116,852055.0
instance_10115,852055.0
instance_10122,852055.0
instance_10119,852055.0
instance_10121,852055.0
instance_10130,852560.0
instance_10140,853304.0
instance_10139,853304.0
instance_10136,853304.0
instance_10135,853304.0
instance_10137,853304.0
instance_10138,853304.0
instance_10134,853305.0
instance_10141,853305.0
instance_10143,853308.0
instance_10142,853309.0
instance_10146,856585.0
instance_10156,860123.0
instance_10157,860123.0
instance_10172,869525.0
instance_10178,873789.0
instance_10177,873790.0
instance_10180,873790.0
instance_10179,873791.0
instance_10191,882412.0
instance_10190,882412.0
instance_10193,883869.0
instance_10197,885499.0
instance_10209,890756.0
instance_10210,890756.0
instance_10211,890756.0
instance_10212,890758.0
instance_10213,890758.0
instance_10214,890760.0
instance_10216,894200.0
instance_10234,902305.0
instance_10238,902315.0
instance_10237,902315.0
instance_10246,902882.0
instance_10244,902882.0
instance_10242,902882.0
instance_10240,902882.0
instance_10252,902882.0
instance_10249,902882.0
instance_10250,902882.0
instance_10248,902882.0
instance_10251,902882.0
instance_10245,902882.0
instance_10243,902882.0
instance_10241,902882.0
instance_10247,902882.0
instance_10255,902891.0
instance_10261,902891.0
instance_10262,902891.0
instance_10259,902891.0
instance_10258,902891.0
instance_10257,902891.0
instance_10260,902891.0
instance_10263,902891.0
instance_10256,902891.0
instance_10254,902891.0
instance_10253,902891.0
instance_10336,904464.0
instance_10345,904970.0
instance_10339,904971.0
instance_10346,904971.0
instance_10343,904971.0
instance_10349,906117.0
instance_10352,906136.0
instance_10353,906136.0
instance_10356,906136.0
instance_10357,906136.0
instance_10354,906136.0
instance_10355,906136.0
instance_10350,906136.0
instance_10351,906136.0
instance_10362,906136.0
instance_10364,906400.0
instance_10365,906400.0
instance_10366,906400.0
instance_10367,906401.0
instance_10369,906401.0
instance_10368,906401.0
instance_10422,909823.0
instance_10417,909823.0
instance_10418,909823.0
instance_10423,909823.0
instance_10428,909824.0
instance_10429,909824.0
instance_10424,909824.0
instance_10427,909824.0
